timestamp,R,S,T,U,V,W,G,H,I,J,K,L,A,B,C,D,E,F
2025-06-04 13:23:57,542,160,51,33,56,20,145,349,324,90,7,6,10,32,91,39,58,89
2025-06-04 13:24:13,542,160,52,34,56,21,145,349,325,91,7,6,10,32,91,39,59,89
2025-06-04 13:24:30,542,160,52,34,56,21,145,349,325,91,7,6,10,32,91,39,58,89
2025-06-04 13:24:41,542,160,52,34,56,21,145,349,325,91,7,6,10,32,91,39,59,89
2025-06-04 13:24:57,542,160,51,33,56,20,145,349,324,90,7,6,10,32,91,39,58,89
2025-06-04 13:25:18,541,160,51,33,56,20,145,349,324,90,7,6,10,32,91,39,58,88
2025-06-04 13:25:29,542,160,51,33,56,20,145,349,324,90,7,6,10,32,91,39,58,89
2025-06-04 13:25:46,541,159,51,33,56,20,144,348,323,90,7,6,10,32,90,39,58,88
2025-06-04 13:25:57,541,160,51,33,56,20,144,349,324,90,7,6,10,32,91,39,58,88
