timestamp,R,S,T,U,V,W,G,H,I,J,K,L,A,B,C,D,E,F
2025-06-04 13:13:01,546,161,52,33,56,20,146,352,327,91,7,6,10,32,92,39,59,89
2025-06-04 13:13:02,547,161,52,33,56,20,146,352,327,91,7,6,10,32,92,40,59,89
2025-06-04 13:13:03,547,161,52,33,56,20,146,352,327,91,7,6,10,32,92,40,59,89
2025-06-04 13:13:05,547,161,52,33,56,20,146,352,327,91,7,6,10,32,92,39,59,89
2025-06-04 13:13:06,547,161,52,33,56,20,146,352,327,91,7,6,10,32,92,39,59,89
2025-06-04 13:13:07,547,161,52,33,56,20,146,352,327,91,7,6,10,32,91,39,59,89
2025-06-04 13:13:08,547,161,52,33,56,20,146,352,327,91,7,6,10,32,92,39,59,89
2025-06-04 13:13:09,547,161,52,33,56,20,146,352,327,91,7,6,10,32,91,39,59,89
2025-06-04 13:13:10,547,161,52,33,56,20,146,352,327,91,7,6,10,32,92,39,59,89
2025-06-04 13:13:12,547,161,52,33,56,20,146,351,327,91,7,6,10,32,91,39,59,89
2025-06-04 13:13:13,547,161,52,33,56,20,146,352,327,91,7,6,10,32,91,39,59,89
2025-06-04 13:13:30,547,161,52,33,56,20,146,352,327,91,7,6,10,32,91,39,59,89
2025-06-04 13:13:41,547,161,52,33,56,20,146,352,327,91,7,6,10,32,91,39,59,89
